dateOfLoss,occupancyType,countyCode,causeOfDamage,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,buildingDamageAmount,netBuildingPaymentAmount
2015-10-04T00:00:00.000Z,1,45019.0,4,,,1105.0,0.0
2015-10-03T00:00:00.000Z,1,45019.0,1,33627.6,0.0,35127.0,33627.6
2015-10-05T00:00:00.000Z,1,45041.0,2,20382.09,0.0,17121.0,20382.09
2015-10-04T00:00:00.000Z,1,45019.0,4,8103.26,0.0,8042.0,8103.26
2015-10-04T00:00:00.000Z,1,45043.0,2,91593.65,24342.39,74131.0,91593.65
2015-10-03T00:00:00.000Z,1,45019.0,4,11158.51,2821.27,10799.0,11158.51
2015-10-03T00:00:00.000Z,1,45019.0,4,,,,0.0
2015-10-04T00:00:00.000Z,1,45019.0,4,263.9,669.42,1452.0,263.9
2015-10-03T00:00:00.000Z,1,45019.0,4,12139.35,0.0,17139.0,12139.35
2015-10-04T00:00:00.000Z,1,45079.0,4,1759.36,0.0,2759.0,1759.36
2015-10-04T00:00:00.000Z,11,45079.0,4,4469.14,0.0,5463.0,4469.14
2015-10-04T00:00:00.000Z,1,45019.0,4,,,2257.0,0.0
2015-12-27T00:00:00.000Z,6,45079.0,4,,,,0.0
2015-10-04T00:00:00.000Z,1,45079.0,4,7628.54,0.0,7078.0,7628.54
2015-10-05T00:00:00.000Z,11,45019.0,4,48719.2,19765.07,42351.0,48719.2
2015-10-03T00:00:00.000Z,1,45035.0,2,15724.12,0.0,15767.0,15724.12
2015-10-03T00:00:00.000Z,11,45019.0,0,,,,0.0
2015-10-03T00:00:00.000Z,1,45035.0,4,10978.87,0.0,11718.0,10978.87
2015-10-04T00:00:00.000Z,1,45019.0,4,12717.17,0.0,12973.0,12717.17
2015-10-02T00:00:00.000Z,1,45019.0,4,35103.51,11980.88,34900.0,35103.51
2015-10-04T00:00:00.000Z,1,45031.0,2,18767.49,3699.0,17864.0,18767.49
2015-10-03T00:00:00.000Z,3,45063.0,4,8010.3,0.0,13010.0,8010.3
2015-10-03T00:00:00.000Z,11,45063.0,4,11299.07,0.0,10299.0,11299.07
2015-10-04T00:00:00.000Z,1,45019.0,4,3121.39,0.0,6121.0,3121.39
2015-10-04T00:00:00.000Z,11,45019.0,0,13665.24,0.0,14666.0,13665.24
2015-12-31T00:00:00.000Z,11,45039.0,2,51796.86,0.0,53796.0,51796.86
2015-10-05T00:00:00.000Z,1,45043.0,2,3846.62,0.0,4910.0,3846.62
2015-10-04T00:00:00.000Z,11,45019.0,4,9184.46,0.0,9595.0,9184.46
2015-10-04T00:00:00.000Z,11,45019.0,4,4373.32,0.0,4837.0,4373.32
2015-10-05T00:00:00.000Z,1,45051.0,4,,,71.0,0.0
2015-10-05T00:00:00.000Z,1,45019.0,2,31806.88,40121.87,30585.0,31806.88
2015-10-02T00:00:00.000Z,1,45043.0,2,79388.69,24708.97,72620.0,79388.69
2015-10-03T00:00:00.000Z,13,45035.0,4,50000.0,0.0,73437.0,50000.0
2015-10-05T00:00:00.000Z,1,45051.0,4,1218.3,0.0,2127.0,1218.3
2015-10-05T00:00:00.000Z,1,45051.0,4,17931.75,0.0,21476.0,17931.75
2015-10-04T00:00:00.000Z,1,45075.0,4,20125.01,4553.23,24375.0,20125.01
2015-10-03T00:00:00.000Z,1,45019.0,4,39065.0,0.0,40565.0,39065.0
2015-10-26T00:00:00.000Z,11,45019.0,1,4128.76,0.0,6088.0,4128.76
2015-10-02T00:00:00.000Z,1,45019.0,4,8067.26,1360.0,8495.0,8067.26
2015-10-03T00:00:00.000Z,1,45035.0,2,24399.75,869.77,23053.0,24399.75
2015-10-04T00:00:00.000Z,1,45019.0,2,4469.94,0.0,6470.0,4469.94
2015-10-04T00:00:00.000Z,6,45019.0,,,,,0.0
2015-10-06T00:00:00.000Z,11,45019.0,4,,,780.0,0.0
2015-10-05T00:00:00.000Z,6,45063.0,2,14458.7,25000.0,19458.0,14458.7
2015-10-04T00:00:00.000Z,6,45019.0,,,,,0.0
2015-10-04T00:00:00.000Z,1,45063.0,4,45242.17,0.0,40785.0,45242.17
2015-11-09T00:00:00.000Z,1,45019.0,4,1250.47,0.0,2400.0,1250.47
2015-10-03T00:00:00.000Z,1,45041.0,4,3257.4,0.0,4140.0,3257.4
2015-10-04T00:00:00.000Z,11,45085.0,2,77862.76,18641.64,75139.0,77862.76
2015-10-04T00:00:00.000Z,1,45015.0,4,7536.65,0.0,8404.0,7536.65
2015-10-04T00:00:00.000Z,3,45051.0,0,,,,0.0
2015-10-04T00:00:00.000Z,1,45041.0,2,8955.13,0.0,10143.0,8955.13
2015-10-04T00:00:00.000Z,11,45079.0,4,35893.19,0.0,32031.0,35893.19
